stationId,stationName,stationLatitude,stationLongitude,parkingQRBikeCnt,parkingELECBikeCnt,parkingTotBikeCnt
ST-4,102. 망원역 1번출구 앞,37.5556488,126.91062927,3.0,1.0,4.0
ST-5,103. 망원역 2번출구 앞,37.55495071,126.91083527,3.0,4.0,7.0
ST-6,104. 합정역 1번출구 앞,37.55062866,126.91498566,2.0,1.0,3.0
ST-7,105. 합정역 5번출구 앞,37.55000687,126.91482544,0.0,0.0,0.0
ST-8,106. 합정역 7번출구 앞,37.54864502,126.91282654,3.0,0.0,3.0
ST-9,107. 신한은행 서교동지점,37.55751038,126.91850281,2.0,0.0,2.0
ST-10,108. 서교동 사거리,37.55274582,126.91861725,0.0,0.0,0.0
ST-11,109. 제일빌딩 앞,37.54769135,126.91998291,4.0,1.0,5.0
ST-15,111. 상수역 2번출구 앞,37.54787064,126.92353058,0.0,0.0,0.0
ST-16,112. 극동방송국 앞,37.54920197,126.92320251,3.0,0.0,3.0
ST-18,113. 홍대입구역 2번출구 앞,37.5574379,126.9238205,32.0,1.0,33.0
ST-20,114. 홍대입구역 8번출구 앞,37.55706024,126.92442322,3.0,0.0,3.0
ST-12,115. 마스타 빌딩 앞,37.55893326,126.92711639,3.0,0.0,3.0
ST-17,117. 홍은사거리,37.59115982,126.94132996,10.0,0.0,10.0
ST-19,118. 광흥창역 2번출구 앞,37.54773331,126.9317627,2.0,0.0,2.0
ST-21,119. 서강나루 공원,37.54528427,126.93105316,0.0,16.0,16.0
ST-22,120. 신수동 사거리,37.54524231,126.93411255,1.0,0.0,1.0
ST-23,121. 마포소방서 앞,37.54976654,126.93317413,1.0,0.0,1.0
ST-24,122. 신성기사식당 앞,37.54745865,126.93837738,5.0,1.0,6.0
ST-25,123. 문화촌 공원,37.59432983,126.9473877,23.0,2.0,25.0
ST-26,124. 서강대 정문 건너편,37.55113983,126.93698883,0.0,0.0,0.0
ST-27,125. 서강대 남문 옆,37.54948425,126.93894958,3.0,1.0,4.0
ST-28,126. 서강대 후문 옆,37.55041122,126.94384766,29.0,0.0,29.0
ST-29,127. 현대벤처빌 앞,37.5535202,126.93695068,1.0,0.0,1.0
ST-30,128. 신촌역(2호선) 1번출구 옆,37.55549622,126.93634033,0.0,0.0,0.0
ST-31,129. 신촌역(2호선) 6번출구 옆,37.55505371,126.93756866,3.0,0.0,3.0
ST-32,130. 신촌역(2호선) 7번출구 앞,37.55485916,126.93615723,1.0,0.0,1.0
ST-33,131. 증산2교,37.5841713,126.91110229,54.0,4.0,58.0
ST-35,133. 해담는다리,37.58203125,126.90899658,33.0,10.0,43.0
ST-36,134. 연세로 명물길,37.55789185,126.93807983,1.0,0.0,1.0
ST-37,135. 명물길 원형무대 앞,37.55922699,126.93984222,0.0,0.0,0.0
ST-39,137. 신촌기차역입구 교차로,37.55681229,126.9431839,1.0,0.0,1.0
ST-40,138. 신촌동 제1공영주차장 앞,37.5591774,126.93452454,1.0,0.0,1.0
ST-43,139. 연세대 정문 건너편,37.55986404,126.93441772,1.0,0.0,1.0
ST-41,140. 이화여대 후문,37.560009,126.94073486,5.0,1.0,6.0
ST-42,141. 연대 대운동장 옆,37.56238174,126.93264771,0.0,0.0,0.0
ST-200,142. 아현역 4번출구 앞,37.55720139,126.95566559,7.0,4.0,11.0
ST-201,143. 공덕역 2번출구,37.54457855,126.9502182,7.0,0.0,7.0
ST-202,144. 공덕역 8번출구,37.5435791,126.95132446,21.0,2.0,23.0
ST-203,145. 공덕역 5번출구,37.54425049,126.95163727,13.0,13.0,26.0
ST-204,146. 마포역 2번출구 뒤,37.53993607,126.94582367,20.0,0.0,20.0
ST-205,147. 마포역 4번출구 뒤,37.53927231,126.94591522,8.0,4.0,12.0
